Fisher, Eddie	Eddie Fisher	Beautiful Things	1952	Beastie Boys	Get it Together	Ill Communication	1994	other
Mar-Keys, The	Damifiknow	Black	1960	WC & the Maad Circle	Dress Code	Ain't A Damn Thang Changed	1991	soul/funk/r&b
Byrd, Donald	Donald Byrd at the Half Note Cafe, Vol 2	Jeannine	1960	US3	Make Tracks	Hand on the Torch	1993	jazz
Davis, Miles	Sketches of Spain	Will O' the Wisp	1960	Jeru	Wrath of the Math	Wrath of the Math	1996	jazz
Dolphy, Eric	Far Cry	Mrs Parker of K.C.	1960	Del	Catch a Bad One	No Need For Alarm	1993	jazz
Mingus, Charles	Mingus Revisited	Chazz Fingers (Mingus Fingus 2)	1960	Organized Konfusion	Stress	Stress: The Extinction Agenda	1994	jazz
Folkes Brothers	single	Oh Carolina	1960	Shaggy	Oh Carolina	Pure Pleasure	1993	other
Brown, James	Night Train	Night Train	1961	Kool Moe Dee	How Ya Like Me Now?	The Greatest Hits	1993	soul/funk/r&b
King, Ben E.	Spanish Harlem	Stand by Me	1961	4 the Cause	Stand By Me	Stand By Me	1998	soul/funk/r&b
Supremes	Meet the Supremes	I Want a Guy	1961	Mobb Deep	Perfect Plot	Unreleased	2001	soul/funk/r&b
Blakey, Art (& the Jazz Messengers)	Mosaic	Crisis	1961	US3	Just Another Brother	Hand on the Torch	1993	jazz
Byrd, Donald	Free Form	French Spice	1961	Naughty by Nature	It's On	19 Naughty Nine: Nature's Fury	1999	jazz
Coltrane, John	The Gentle Side of John Coltrane	My Little Brown Book	1961	DJ Cam	No Competition	Abstract Manifesto	1996	jazz
Coltrane, John	Africa/Brass	Africa	1961	Aceyalone	The Hunt	A Book Of Human Language	1998	jazz
Mann, Herbie	At the Village Gate	Summertime	1961	Sublime	Doin' Time	Second Hand Smoke	1997	jazz
Nelson, Sandy	Let There Be Drums	Big Noise from Winnetka	1961	Jurassic 5	Swing Set	Quality Control	2000	rock/pop
Mancini, Henry	Mr. Lucky Goes Latin	Lujon	1961	Freestyle Fellowship	Mary	Innercity Griots	1993	other
Sound of the South	Sounds of the South	Trouble So Hard	1961	Moby	Natural Blues	Play	1999	other
Sound of the South	Sounds of the South	Joe Lee's Rock	1961	Moby	Find My Baby	Play	1999	other
Sound of the South	Sounds of the South	Sometimes	1961	Moby	Honey	Play	1999	other
Booker T. & the MG's	Green Onions	Green Onions	1962	Diamond D	Best Kept Secret	Stunts, Blunts, &#038; Hip Hop	1992	soul/funk/r&b
Booker T. & the MG's	Green Onions	Green Onions	1962	MC Lyte	I am the Lyte	Eyes On This	1989	soul/funk/r&b
Chandler, Gene	The Duke of Earl	Duke of Earl	1962	Cypress Hill	Hand on the Pump	Cypress Hill	1991	soul/funk/r&b
Hamilton, Chico	Drumfusion	A Rose for Booker	1962	De la Soul	4 More	Stakes Is High	1996	jazz
Jones, Quincy	Soul Bossanova	Soul Bossanova	1962	Dream Warriors	My Definition of a Boombastic Jazz Style	And Now The Legacy Begins	1991	jazz
Jones, Quincy	Soul Bossanova	Soul Bossanova	1962	Dream Warriors	U Could Get Arrested	And Now The Legacy Begins	1991	jazz
Lamond, Don & His Orchestra	Off Beat	It Don't Mean a Thing If it Ain't Got That Swing	1962	Beatnuts	Cocotaso	A Musical Massacre	1999	jazz
Parker, Charlie	Bird Symbols	Night in Tunisia	1962	Nice & Smooth	Down the Line	Ain't A Damn Thing Changed	1991	jazz
Quebec, Ike	Bossa Nova Soul Samba	Shu Shu Valley	1962	Black Sheep	Pass the 40	A Wolf In Sheep's Clothing	1991	jazz
Stevens, Ray	Ahab the Arab	Jerimiah Peabody's Poly Unsaturated. . . Green and Purple Pills	1962	D12	Purple Pills	Devil's Night	2001	other
Cash, Alvin	single	Twine Time	1963	De la Soul	Let, Let Me In	De La Soul Is Dead	1991	soul/funk/r&b
Cash, Alvin	single	Twine Time	1963	Gravediggaz	Defective Trippin'	6 Feet Deep	1997	soul/funk/r&b
Cash, Alvin	single	Twine Time	1963	Lords of the Underground	Chief Rocka	Here Come The Lords	1993	soul/funk/r&b
Getz, Stan	Jazz Samba Encore!	Saudade Vem Correndo	1963	Pharcyde	Runnin'	Labcabincalifornia	1995	jazz
Hartman, Johnny w/ John Coltrane	John Coltrane and Johnny Hartman	Autumn Serenade	1963	Pharcyde	Pack the Pipe	Bizarre Ride II The Pharcyde	1992	jazz
Roberts, Howard Quartet	H.R. is a Dirty Guitar Player	Dirty Old Bossa Nova	1963	A Tribe Called Quest	The Jam	Beats Rhymes &#038; Life	1996	jazz
Roberts, Howard Quartet	H.R. is a Dirty Guitar Player	Turista	1963	InI	Props	Center Of Attention	1996	jazz
Sakamoto, Kyu	single	Sukiyaki	1963	Snoop Dogg	Lodi Dodi	Doggystyle	1993	jazz
Beatles	Please Please Me	Twist and Shout	1963	Manic Street Preachers	Masses Against the Classes	Forever Delayed	2002	rock/pop
Beatles	Please Please Me	Twist and Shout	1963	NWA	Drink it Up	N.W.A And The Posse	1989	rock/pop
Prince Buster	Please Please Me	Al Capone	1963	The Specials	Gangsters	The Singles Collection	1991	other
Aznavour, Charles	Qui	Qui	1963	Dynamic Syncopation	Homing In	Dynanism	1999	other
Aznavour, Charles	Qui	Les Deux Pigeons	1963	Ideal J	Evitez	Le Combat Continue	1998	other
Cricket, Jiminy & Moore, Rica	Multiplication and Division	The Switch Hitch	1963	Jurassic 5	Lesson 6	Jurassic 5 EP	1997	other
Barbara and the Browns	Our Winter Love	In My Heart	1964	Wu-Tang Clan	In the Hood	Iron Flag	2001	soul/funk/r&b
Bob and Earl	Harlem Shuffle	Harlem Shuffle	1964	House of Pain	Jump Around	House of Pain	1992	soul/funk/r&b
Warwick, Dionne	Anyone Who Had a Heart	Anyone Who Had a Heart	1964	Mos Def	Know That	Black On Both Sides	1999	soul/funk/r&b
Warwick, Dionne	Make Way for Dionne Warwick	Wishin' and Hopin'	1964	Shyheim	Napsack	The Rugged Child	1993	soul/funk/r&b
Warwick, Dionne	Make Way for Dionne Warwick	Walk on By	1964	Slick Rick	Mona Lisa	The Great Adventures Of Slick Rick	1995	soul/funk/r&b
Benson, George	The New Boss Guitar of George Benson	Shadow Dancers	1964	Souls of Mischief	Let 'em Know	93 'Til Infinity	1993	jazz
Green, Grant	Street of Dreams	I Wish You Love	1964	Lootpack	Female Request Line	Psyche Move	2001	jazz
Guaraldi, Vince	Jazz Impressions of a Boy Named Charlie Brown	Fly Me to the Moon	1964	Pharcyde	Splattitorium	Labcabincalifornia	1995	jazz
Hancock, Herbie	Empyrean Isles	Oliloquy Valley	1964	Eric B & Rakim	Untouchables	Let The Rhythm Hit 'Em	1990	jazz
Hancock, Herbie	Empyrean Isles	Cantaloupe Island	1964	US3	Cantaloop	Hand on the Torch	1993	jazz
Hancock, Herbie	Empyrean Isles	The Egg	1964	Aceyalone	Forward	A Book Of Human Language	1998	jazz
Silver, Horace	Song for My Father	Song for My Father	1964	US3	Eleven Long Years	Hand on the Torch	1993	jazz
Tjader, Cal	Soul Sauce	Leyte	1964	Camp Lo	Sparkle	Uptown Saturday Night	1997	jazz
Tjader, Cal	Soul Sauce	Leyte	1964	Ini	To Each His Own	Center Of Attention	1996	jazz
Tjader, Cal	Soul Sauce	Pantana	1964	Grand Puba	Back Stabbers	2000	1995	jazz
Wilson, Nancy	Today, Tommorow, Forever	Tonight May Have to Last Me All My Life	1964	Avalanches	Tonight May Have to Last Me All My Life	Since I Left You	2000	jazz
Springfield, Dusty	A Girl Called Dusty	Son of a Preacher Man	1964	Cypress Hill	Hits from the Bong	Black Sunday	1993	rock/pop
Skatalites	A Girl Called Dusty	Man in the Street	1964	Boogie Down Productions	Edutainment	Edutainment	1990	other
Mancini, Henry	The Pink Panther	Inspector Clouseau Theme	1964	Portishead	Only You	Portishead	1997	other
Aznavour, Charles	Charles Aznavour	A Ma Fille	1964	The Firm	Firm Fiasco	The Album	1997	other
Light, Enoch	Dance. . . Dance. . . Dance	And I Love Her	1964	Beatnuts	Look Around	A Musical Massacre	1999	other
Disney	Chilling, Thrilling Sounds of the Haunted House	The Haunted House	1964	Ice Cube	Jackin' for Beats	Greatest Hits	2001	other
Disney	Chilling, Thrilling Sounds of the Haunted House	The Very Long Fuse	1964	Ice Cube	Look Who's Burnin'	Death Certificate	1991	other
Disney	Chilling, Thrilling Sounds of the Haunted House	Chinese Water Torture	1964	Jedi Mind Tricks	Chinese Water Torture	The Psycho-Social, Chemical, Biological, And Electro-Magnetic Manipulation Of H	1997	other
Disney	Chilling, Thrilling Sounds of the Haunted House	Thunder, Lightning, and Rain	1964	Jedi Mind Tricks	Chinese Water Torture	The Psycho-Social, Chemical, Biological, And Electro-Magnetic Manipulation Of H	1997	other
Brown, James	Papa's Got a Brand New Bag	Papa's Got a Brand New Bag	1965	JAMS	Candyman	The History Of The Jams	1988	soul/funk/r&b
Brown, James	Papa's Got a Brand New Bag	Papa's Got a Brand New Bag	1965	Kool Moe Dee	How Ya Like Me Now?	The Greatest Hits	1993	soul/funk/r&b
Brown, James	Papa's Got a Brand New Bag	Papa's Got a Brand New Bag	1965	Salt-N-Pepa	Swift	Blacks' Magic	1990	soul/funk/r&b
Fontana, Wayne & the Mindbenders	Game of Love	Game of Love	1965	Presage	Remote Control	Outer Perimeter	1998	soul/funk/r&b
Stewart, Billy	I Do Love You	Sitting in the Park	1965	Slick Rick	Sittin' in My Car	Behind Bars	1994	soul/funk/r&b
Wright, O.V.	If It's Only for Tonight	Motherless Child	1965	Ghostface Killah	Motherless Child	Ironman	1996	soul/funk/r&b
Bobo, Willie	Spanish Grease	Spanish Grease	1965	Mellow Man Ace	Mentirosa	Escape From Havana	1989	jazz
Jones, Quincy	The Pawnbroker soundtrack	Rack em' Up	1965	DJ Food	The Riff	Kaleidoscope	2000	jazz
Montgomery, Wes	Willow Weep for Me	Willow Weep for Me	1965	Sisqo	Thong Song	Unleash The Dragon	1999	jazz
Scott, Tony	Music for Zen Meditation and Other Joys	A Quivering Leaf, Ask the Winds	1965	Aesop Rock	Spare a Match	Float	2002	jazz
Scott, Tony	Music for Zen Meditation and Other Joys	After the Snow, the Fragrance	1965	Aesop Rock	Daylight	Labor Days	2001	jazz
Simone, Nina	Pastel Blues	Sinner Man	1965	Talib Kweli	Get By	Quality	2002	jazz
Simone, Nina	Pastel Blues	Strange Fruit	1965	Cinematic Orchestra	Durian	Motion	1999	jazz
Beatles	Rubber Soul	Michelle	1965	Wyclef	Gone Till November	The Carnival	1997	rock/pop
Dylan, Bob	Highway 61 Revisited	Just Like Tom Thumb's Blues	1965	Beastie Boys	Finger Lickin' Good	Check Your Head	1992	rock/pop
Rush, Tom	Tom Rush	The Cuckoo	1965	Scarface	Keep Me Down	The Fix	2002	rock/pop
Aznavour, Charles	La Boheme	Parce Que Tu Crois	1965	Dr. Dre	What's the Difference?	2001	1999	other
Gilberto, Astrud	The Shadow of Your Smile	Tristeza	1965	J. Rawls	What You Want Is?	The Essence Of J.Rawls	2001	other
Booker T. & the MG's	And Now	No Matter What They Say	1966	House of Pain	Shamrocks and Shenanigans	House of Pain	1992	soul/funk/r&b
Booker T. & the MG's	And Now	Bootleg	1966	Cypress Hill	Born to Get Busy	Cypress Hill	1991	soul/funk/r&b
Brown, James	I Got You (I Feel Good)	I Got You (I Feel Good)	1966	Public Enemy	Contract on the World Love Jam	Fear Of A Black Planet	1990	soul/funk/r&b
Brown, James	It's a Man's, Man's, Man's World	It's a Man's, Man's, Man's World	1966	Alicia Keys	Fallin'	Remixed &#038; Unplugged In A Minor	2002	soul/funk/r&b
Brown, James	It's a Man's, Man's, Man's World	It's a Man's, Man's, Man's World	1966	Big Daddy Kane	Mortal Combat	It's a Big Daddy Thing	1989	soul/funk/r&b
Brown, James	It's a Man's, Man's, Man's World	It's a Man's, Man's, Man's World	1966	Ice Cube	Jackin' for Beats	Greatest Hits	2001	soul/funk/r&b
Brown, James	It's a Man's, Man's, Man's World	It's a Man's, Man's, Man's World	1966	Nature	Man's World	For All Seasons	2000	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Arsonists	Pyromaniax	As The World Burns	1999	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Biz Markie	Just a Friend	Biz'S Baddest Beats	1995	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Black Moon	Throw Your Hands in the Air	War Zone	1999	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Blackalicious	Lyric Fathom	Melodica	1996	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Compton's Most Wanted	This is Compton	Music To Driveby	2002	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Common	Breaker 1/9	Can I Borrow A Dollar?	1992	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Cypress Hill	Hits from the Bong	Black Sunday	1993	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	De la Soul	Fanatic of the B Word	De La Soul Is Dead	1991	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Diamond D	Feel the Vibe	Stunts, Blunts, &#038; Hip Hop	1992	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Grand Puba	Playin' the Game	2000	1995	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Lench Mob	Inside the Head of a Black Man	Guerillas In Tha Mist?	1992	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Lench Mob	Capital Punishment in America	Guerillas In Tha Mist?	1992	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Lord Finesse	Return of the Funky Man	Return Of The Funky Man	1991	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Leaders of the New School	Zearocks	T.I.M.E. - The Inner Mind's Ey	1993	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	Wu-Tang Clan	Maria	Forever	1997	soul/funk/r&b
Dorsey, Lee	The New Lee Dorsey	Get out of My Life, Woman	1966	X-Clan	Verbal Milk	To The East, Blackwards	1990	soul/funk/r&b
Dorsey, Lee	Ride Your Pony	Greatest Love	1966	De la Soul	Oooh	Art Official Intelligence: Mosaic Thump	2000	soul/funk/r&b
Mad Lads	In Action	Get out of My Life, Woman	1966	Wiseguys	The Grabbing Hands	The Antidote	1998	soul/funk/r&b
Mar-Keys, The	The Great Memphis Sound	Grab this Thing	1966	Grand Puba	360 Degrees	Reel To Reel	1992	soul/funk/r&b
Mar-Keys, The	The Great Memphis Sound	Plantation Inn	1966	Brand Nubian	Step to the Rear	One For All	1990	soul/funk/r&b
Pickett, Wilson	The Exciting Wilson Pickett	99 1/2 Won't Do	1966	Yo-Yo	Cube Gets Played	Make Way For The Motherlode	1991	soul/funk/r&b
Pickett, Wilson	The Wicked Wilson Pickett	Mustang Sally	1966	Ice Cube	Check Yo Self	Greatest Hits	2001	soul/funk/r&b
Preston, Billy	The Wildest Organ in Town	Uptight	1966	Deee-Lite	Groove is in the Heart	World Clique	1990	soul/funk/r&b
Redding, Otis	Otis Blue	Change is Gonna Come	1966	Ghostface Killah	Fish	Ironman	1996	soul/funk/r&b
Redding, Otis	Otis Blue	My Girl	1966	Geto Boys	Read These Nikes	The Geto Boys	1990	soul/funk/r&b
Reeves, Martha and the Vendellas	Martha and the Vandellas Greatest Hits	Nowhere to Run	1966	NWA	100 Miles and Runnin'	Greatest Hits	1996	soul/funk/r&b
Sam & Dave	Soul Men	Let It Be Me	1966	Quasimoto	Boom Music	The Unseen	2000	soul/funk/r&b
Smith, O.C.	The Dynamic	You Can See Forever	1966	KMD	Peachfuzz	Mr. Hood	1991	soul/funk/r&b
Smith, O.C.	The Dynamic	You Can See Forever	1966	Nice & Smooth	Return of the Hip-Hop Freaks	Jewel Of The Nile	1994	soul/funk/r&b
Stewart, Billy	Unbelievable	Summertime	1966	Public Enemy	Contract on the World Love Jam	Fear Of A Black Planet	1990	soul/funk/r&b
Wonder, Stevie	Uptight	Uptight (Everything's Alright)	1966	Oasis	Step Out	Familiar To Millions (Disc 1)	2000	soul/funk/r&b
Bobo, Willie	Uno Dos Tres	Fried Neck Bones and Home Fries	1966	Styles of Beyond	Survival Tactics	2000 Fold	1998	jazz
Burton, Gary (Quartet)	Tennessee Firebird	Walter L	1966	Nas	One Time 4 Your Mind	Illmatic	1994	jazz
Cherry, Don	Complete Communion	Complete Communion	1966	Quasimoto	Microphone Mathematics	The Unseen	2000	jazz
Jones, Quincy	Slender Thread soundtrack	Aftermath	1966	Pharoahe Monch	Behind Closed Doors	Internal Affairs	1999	jazz
Mance, Junior	I Believe to My Soul	I Believe to My Soul	1966	Defari	Behold My Life	Odds And Evens	2003	jazz
Mann, Herbie	Latin Man	Bijou	1966	Pharcyde	Pack the Pipe	Bizarre Ride II The Pharcyde	1992	jazz
Mann, Herbie	Today!	Today	1966	Pharcyde	Otha Fish	Bizarre Ride II The Pharcyde	1992	jazz
Modern Jazz Quartet	Blues at Carneige Hall	Ralph's New Blues	1966	Pete Rock & CL Smooth	In the Flesh	The Main Ingredient	1994	jazz
Monk, Thelonious	Straight, No Chaser	Straight, No Chaser	1966	US3	I Go to Work	Hand on the Torch	1993	jazz
Smith, Jimmy & Montgomery, Wes	The Dynamic Duo	Baby it's Cold Outside	1966	De la Soul	Skip to My Loop	3 Feet High And Rising Bonus Disc	2000	jazz
Tjader, Cal	Soul Burst	The Bilbao Song	1966	Pharcyde	Groupie Therapy	Labcabincalifornia	1995	jazz
Williams, Joe	Presenting. . . with Thad Jones & the Mel Lewis Jazz Orchestra	Get out of My Life	1966	Jill Scott	Brotha	Who Is Jill Scott? (Words And Sounds Vol. 1)	2000	jazz
Williams, Joe	Presenting. . . with Thad Jones & the Mel Lewis Jazz Orchestra	Get out of My Life	1966	Queen Latifah	Latifah's Had it up 2 Here	Nature Of A Sista'	1991	jazz
Zawinul, Joe	Money in the Pocket	Money in the Pocket	1966	Cypress Hill	Break 'em off Some	Black Sunday	1993	jazz
Beatles	Revolver	Tomorrow Never Knows	1966	Chemical Brothers	Setting Sun	Dig Your Own Hole	1997	rock/pop
Blues Project	Projections	Flute Thing	1966	Beastie Boys	Flute Loop	Ill Communication	1994	rock/pop
Cyrkle, The	Red Rubber Ball	Turn-Down Day	1966	People Under the Stairs	The Turndown	The Next Step	1998	rock/pop
Donovan	Sunshine Superman	Sunshine Superman	1966	Imani Coppola	Legend of a Cowgirl	Chupacabra	1997	rock/pop
Jefferson Airplane	Surrealistic Pillow	Today	1966	Black Sheep	Similak Child	A Wolf In Sheep's Clothing	1991	rock/pop
Loog, Andrew Oldham Orchestra	Album: The Rolling Stones Songbook	The Last Time	1966	The Verve	Bittersweet Symphony	Urban Hymns	1997	rock/pop
Lovin Spoonful	Hums	Summer in the City	1966	De la Soul	Thru Ya City	Art Official Intelligence: Mosaic Thump	2000	rock/pop
Q65	Revolution	Get Out My Life Woman	1966	Wiseguys	We Be the Crew	The Antidote	1998	rock/pop
Them	Them Again	It's All over Now, Baby Blue	1966	Beck	Jack-Ass	Odelay	1996	rock/pop
Them	Them Again	Out of Sight	1966	Beck	Devils Haircut	Odelay	1996	rock/pop
Turtles	You Baby	You Baby	1966	De la Soul	What's More (Vocal)	3 Feet High And Rising Bonus Disc	2000	rock/pop
Turtles	You Baby	You Baby	1966	Fatboy Slim	Punk to Funk	Better Living Through Chemistry	1996	rock/pop
Ventures	Wild Thing	Wild Child	1966	Wiseguys	Start the Commotion	The Antidote	1998	rock/pop
Count Yates	single	At the Soul Inn	1966	Jon Spencer Blues Explosion	Calvin	Acme	1999	rock/pop
Dankworth, John	Modesty Blaise soundtrack	Modesty Blaise Theme	1966	Gorillaz	Rock the House	Gorillaz	2001	other
Schifrin, Lalo	Mission: Impossible	Mission: Impossible	1966	Goats	Do the Digs Dug	Tricks Of The Shade	1992	other
Schifrin, Lalo	Mission: Impossible	Mission: Impossible	1966	JAMS	Whitney Joins the JAMS	The History Of The Jams	1988	other
Schifrin, Lalo	Mission: Impossible	Jim on the Move	1966	Wiseguys	Ooh La La	The Antidote	1998	other
Schifrin, Lalo	Marquis De Sade	Bossa Antique	1966	Cinematic Orchestra	Night of the Iguana	Motion	1999	other
Perrey & Kingsley	The in Sound from Way Out	Countdown at 6	1966	Pharcyde	Trust	Plain Rap	2000	other
Wanderly, Walter	Rain Forest	Summer Samba	1966	De la Soul	Supa Emcees	Stakes Is High	1996	other
Bo, Eddie	single	Lover & a Friend	1967	DJ Food	Inosan	A Recipe For Disaster	1995	soul/funk/r&b
Bo, Eddie	single	Lover & a Friend	1967	Luscious Jackson	Keep on Rockin'	In Search Of Manny	1992	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Hip-Hug-Her	1967	Mary J. Blige	Everything	Share My World	1997	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Hip-Hug-Her	1967	Das EFX	Looseys	Dead Serious	1992	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Hip-Hug-Her	1967	Ice Cube	Givin' up the Nappy Dug Out	Death Certificate	1991	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Hip-Hug-Her	1967	Jungle Brothers	Promo #2	Straight Out The Jungle	1988	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Hip-Hug-Her	1967	Lord Finesse	I Like My Girls with a Boom	Return Of The Funky Man	1991	soul/funk/r&b
Booker T. & the MG's	Hip-Hug-Her	Sunny	1967	Gravediggaz	1-800-SUICIDE	6 Feet Deep	1997	soul/funk/r&b
Brown, James	Cold Sweat	Cold Sweat	1967	Ice Cube	Jackin' for Beats	Greatest Hits	2001	soul/funk/r&b
Brown, James	Cold Sweat	Cold Sweat	1967	Public Enemy	Prophets of Rage	It Takes A Nation Of Millions To Hold Us Back	1988	soul/funk/r&b
Brown, James	Cold Sweat	Cold Sweat	1967	Public Enemy	Welcome to the Terrordome	Fear Of A Black Planet	1990	soul/funk/r&b
Brown, James	Cold Sweat	Cold Sweat	1967	Public Enemy	How to Kill a Radio Consultant	Apocalypse 91...The Enemy Strikes Black	1991	soul/funk/r&b
Brown, James	James Brown Sings Raw Soul	Bring it Up (Hipster's Avenue)	1967	Brothers Like Outlaw	Kickin' Jazz	The Oneness Of II Minds In Unison	1992	soul/funk/r&b
Brown, James	James Brown Sings Raw Soul	Bring it Up (Hipster's Avenue)	1967	Kid 'N Play	Gittin' Funky	2 Hype	1988	soul/funk/r&b
Charmells, The	single	As Long as I've Got You	1967	Blackstreet	No Diggity	Another Level	1996	soul/funk/r&b
Charmells, The	single	As Long as I've Got You	1967	Genius	I Gotcha Back	Liquid Swords	1995	soul/funk/r&b
Charmells, The	single	As Long as I've Got You	1967	Wu-Tang Clan	Cream	Enter The Wu-Tang (36 Chambers)	1993	soul/funk/r&b
Curtis, King & the Kinpins	King Size Soul	Memphis Soul Stew	1967	3rd Bass	Jammie	Derelicts Of Dialect	1991	soul/funk/r&b
Curtis, King & the Kinpins	King Size Soul	Memphis Soul Stew	1967	Two Kings in a Cipher	Kemit-Cal Reaction	From Pyramids To Projects	1991	soul/funk/r&b
Dyke & the Blazers	Funky Broadway	Broadway Combination	1967	Deee-Lite	Vote, Baby, Vote	Infinity Within	1992	soul/funk/r&b
Floyd, Eddie	Knock on Wood	Knock on Wood	1967	Tony, Toni, Tone	If I Had No Loot	Sons Of Soul	1993	soul/funk/r&b
Franklin, Aretha	I Never Loved a Man (The Way I Love You)	Respect	1967	3rd Bass	The Gas Face	The Cactus Album (The Cactus CEE/D)	1989	soul/funk/r&b
Franklin, Aretha	Aretha Franklin's Greatest Hits	Cry Like a Baby	1967	Atmosphere	Tears for the Sheep	Lucy Ford	2000	soul/funk/r&b
Fulsom, Lowell	Tramp	Tramp	1967	Beatnuts	Get Funky	Classic Nuts Vol. 1	2002	soul/funk/r&b
Fulsom, Lowell	Tramp	Tramp	1967	Brand Nubian	Step to the Rear	One For All	1990	soul/funk/r&b
Fulsom, Lowell	Tramp	Tramp	1967	Cypress Hill	How I Could Just Kill a Man	Cypress Hill	1991	soul/funk/r&b
